FRAME,OTIME,AREA5,AREA6,AREA7,AREA21,AREA25,AREA30,AREA35,MSKY,FLUX5,FLUX6,FLUX7,FLUX21,FLUX25,FLUX30,FLUX35
138,59814.36377,78.81086,113.4685,154.1359,1385.372,1963.856,2827.933,3849.066,1104.813,3480.616,3873.232,4188.399,5958.332,5779.361,6533.13,6632.771
139,59814.36774,78.79015,113.353,154.1229,1385.814,1963.834,2827.672,3848.615,1103.59,3233.027,3663.447,4106.212,3450.472,3801.871,1962.889,592.8375
140,59814.3717,78.85524,113.2237,154.4419,1385.916,1963.399,2827.295,3848.387,1095.522,3599.828,3878.99,3964.406,5840.865,6437.095,7362.666,7823.073
141,59814.37566,79.12627,113.2411,154.5516,1385.782,1962.391,2826.757,3848.299,1098.332,3592.766,3902.112,4181.276,8074.387,9851.063,11563.43,14862.4
142,59814.37964,78.6712,113.6361,153.8051,1385.423,1964.343,2828.36,3849.288,1104.04,4025.821,4263.925,4476.631,6034.849,6917.596,6724.924,6653.92
143,59814.3836,78.7234,113.5454,153.906,1385.588,1964.438,2828.324,3849.022,1099.842,3200.214,3430.856,3563.574,5713.498,6570.357,7984.584,9619.771
144,59814.38756,78.68136,113.5142,153.786,1385.458,1964.4,2828.305,3849.362,1101.067,3659.085,3977.132,4156.783,8918.714,9711.058,12704.93,14623.73
145,59814.39152,78.8013,113.3878,154.1976,1385.631,1963.705,2827.621,3848.716,1085.715,3934.155,4397.583,4861.442,9593.468,9838.776,12942.22,14928.61
146,59814.39548,78.92593,113.2382,154.5173,1385.889,1962.986,2826.966,3848.297,1078.208,3822.455,4126.486,4512.139,8805.273,9122.491,10445.77,11511.43
147,59814.39945,78.7595,113.3916,154.1515,1385.789,1963.798,2827.642,3848.666,1067.986,3938.067,4321.422,4614.28,9207.877,9781.301,11656.23,12428.59
148,59814.40341,78.80674,113.2235,154.4238,1385.827,1963.569,2827.459,3848.438,1067.433,3460.418,3751.408,3899.028,4908.761,5461.449,6790.632,6723.728
149,59814.40737,78.8082,113.4482,154.1611,1385.424,1963.819,2827.873,3849.018,1059.272,3503.625,3801.994,3896.253,5461.581,5562.631,5614.669,5474.956
150,59814.41135,78.80793,113.2844,154.3207,1385.776,1963.339,2827.342,3848.636,1066.145,3309.049,3677.936,4061.635,4452.276,4289.22,4737.774,4010.334
151,59814.41531,78.82054,113.3032,154.1495,1385.867,1963.788,2827.65,3848.551,1085.556,3354.097,3900.256,4103.288,5735.086,5836.61,6661.656,8003.497
152,59814.41927,78.8138,113.5452,154.1065,1385.417,1963.708,2827.883,3848.979,1095.8,3756.356,4166.367,4500.803,6448.312,6325.525,5927.244,4466.069
153,59814.42323,78.85344,113.207,154.3527,1385.807,1963.714,2827.582,3848.503,1101.938,3433.281,3888.716,4271.856,9779.142,10380.29,10604.53,10967.33
154,59814.42721,78.78435,113.3697,154.1682,1385.761,1963.726,2827.599,3848.668,1105.972,2753.495,3118.795,3544.715,6032.099,5282.613,5485.536,5355.035
155,59814.43117,78.7824,113.3629,154.1275,1385.81,1963.839,2827.67,3848.636,1110.149,3507.014,4144.636,4542.594,5966.845,6569.106,7382.277,11062.25
156,59814.43513,78.79395,113.3807,154.1168,1385.674,1964.117,2827.992,3848.822,1121.581,3571.915,3922.521,4034.892,4041.316,3863.003,3809.15,4354.793
157,59814.43909,78.82941,113.3458,154.1079,1385.72,1963.922,2827.78,3848.645,1118.373,4055.296,4182.44,4183.57,4663.7,4583.087,5288.147,6504.791
158,59814.44307,78.81295,113.3195,154.3181,1385.714,1963.41,2827.417,3848.641,1123.152,3910.19,4267.922,4553.915,6439.218,7646.457,9257.246,13817.59
159,59814.44703,78.74422,113.4002,154.1632,1385.763,1964.126,2828.039,3848.803,1138.361,3795.807,3931.748,3970.043,5787.804,6077.789,5814.49,7499.628
160,59814.45099,78.67555,113.5865,153.7696,1385.446,1964.377,2828.353,3849.347,1135.186,4019.446,4329.106,4391.604,6779.093,8353.854,7790.148,9479.406
161,59814.45495,78.67761,113.5794,153.8528,1385.624,1964.536,2828.341,3849.053,1153.158,3569.099,3916.245,4140.656,2905.756,3848.958,4121.342,5770.919
162,59814.45893,78.78445,113.562,154.0638,1385.351,1963.859,2828.003,3849.171,1139.565,3846.309,4243.223,4524.075,4934.979,4950.042,5879.043,5830.034
